"Classificação Contextual - MF",,"Limiar MPAD: 18 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","158","0","0","4","0","6",,"168","0.94047619047619","0.05952380952381"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","87","0","0","0",,"87","1","0"
"Forest","4","0","1","159","0","0",,"164","0.969512195121951","0.030487804878049"
"Clean Pasture","0","0","56","0","127","5",,"188","0.675531914893617","0.324468085106383"
"Dirty Pasture","0","0","19","0","36","152",,"207","0.734299516908213","0.265700483091787"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.969325153374233","1","0.533742331288344","0.975460122699387","0.779141104294479","0.932515337423313",,,,
"Erro Omissão (Exclusão)","0.030674846625767","0","0.466257668711656","0.024539877300613","0.220858895705521","0.0674846625766869",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.865030674846626",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.838036809815951",,,,,,,,,
