"Classificação Contextual - MF",,"Limiar MPAD: 121 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","158","41","0","4","0","5",,"208","0.759615384615385","0.240384615384615"
"Water","1","117","0","0","0","0",,"118","0.991525423728814","0.00847457627118597"
"Dirt road","0","0","35","0","0","0",,"35","1","0"
"Forest","4","4","1","159","0","0",,"168","0.946428571428571","0.053571428571429"
"Clean Pasture","0","0","95","0","126","5",,"226","0.557522123893805","0.442477876106195"
"Dirty Pasture","0","1","32","0","37","153",,"223","0.68609865470852","0.31390134529148"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.969325153374233","0.717791411042945","0.214723926380368","0.975460122699387","0.773006134969325","0.938650306748466",,,,
"Erro Omissão (Exclusão)","0.030674846625767","0.282208588957055","0.785276073619632","0.024539877300613","0.226993865030675","0.0613496932515341",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.764826175869121",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.717791411042945",,,,,,,,,
