"Classificação Contextual - MF",,"Limiar MPAD: 59 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","158","2","0","4","0","5",,"169","0.93491124260355","0.06508875739645"
"Water","1","161","0","0","0","0",,"162","0.993827160493827","0.00617283950617298"
"Dirt road","0","0","40","0","0","0",,"40","1","0"
"Forest","4","0","1","159","0","0",,"164","0.969512195121951","0.030487804878049"
"Clean Pasture","0","0","90","0","126","5",,"221","0.570135746606335","0.429864253393665"
"Dirty Pasture","0","0","32","0","37","153",,"222","0.689189189189189","0.310810810810811"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.969325153374233","0.987730061349693","0.245398773006135","0.975460122699387","0.773006134969325","0.938650306748466",,,,
"Erro Omissão (Exclusão)","0.030674846625767","0.012269938650307","0.754601226993865","0.024539877300613","0.226993865030675","0.0613496932515341",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.814928425357873",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.777914110429448",,,,,,,,,
